name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,website,map
潮岬キャンプ場,和歌山県,,フリー,17.5,8.3,8.8,11.6,15.6,19.3,22.1,25.7,26.9,24.6,20.3,15.5,10.6,,"https://www.google.com/maps?q=33.4384275,135.7630963"
神明キャンプ場,岐阜県,,,13.7,2.1,3.1,6.2,11.7,16.9,21.0,24.8,26.0,22.1,16.0,10.0,4.7,,"https://www.google.com/maps?q=35.3471341,136.2777131"
東大沼キャンプ場,北海道,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://town.nanae.hokkaido.jp/,"https://www.google.com/maps?q=42.0120425,140.7158054"
きじびき高原キャンプ場,青森県,,,8.6,-3.5,-2.9,0.9,6.6,11.8,15.9,19.8,21.5,18.0,11.5,5.0,-1.2,,"https://www.google.com/maps?q=41.9241493,140.6162831"
虎御前山キャンプ場,岐阜県,,,14.3,2.9,3.3,6.8,12.2,17.4,21.4,25.5,26.7,22.7,16.7,10.7,5.5,,"https://www.google.com/maps?q=35.4363033,136.2605376"
秡川キャンプ場,秋田県,,,11.4,-0.2,0.1,3.0,8.9,15.0,19.3,23.1,24.2,19.9,13.5,7.4,2.1,,"https://www.google.com/maps?q=39.1332191,140.0708921"
バンガロー村・古里とみやま,静岡県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.1725738,137.7822969"
したらの里,愛知県,,,11.8,0.2,1.0,4.8,10.2,15.2,19.1,22.9,23.7,20.1,14.1,7.8,2.5,,"https://www.google.com/maps?q=35.1712769,137.5493648"
茶臼山高原キャンプ場,愛知県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.2230075,137.6588121"
Aキャンプ場,愛知県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=34.9958684,137.626029"
Bキャンプ場,愛知県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=34.9950269,137.6252"
我孫子市ふれあいキャンプ場,千葉県,,,14.7,3.3,4.5,8.3,12.8,18.3,21.2,25.1,26.6,22.7,17.0,11.1,5.7,,"https://www.google.com/maps?q=35.858335,140.0567619"
池尻キャンプ場,和歌山県,,,0.0,6.8,6.8,9.5,14.0,18.3,21.7,25.4,27.1,24.5,19.7,14.7,9.5,,"https://www.google.com/maps?q=34.2803,135.0017109"
遊・・亭夏虫,岩手県,,,11.7,1.1,1.4,4.4,9.4,14.2,17.9,21.7,23.2,20.0,14.4,8.6,3.5,,"https://www.google.com/maps?q=39.1380369,141.7809462"
平成の森,宮城県,,,11.4,0.7,1.2,4.2,9.2,14.0,17.5,21.4,23.0,19.8,14.2,8.4,3.1,,"https://www.google.com/maps?q=38.7197717,141.5353529"
岩手県久慈市立平山小学校,岩手県,,,10.1,-0.5,-0.2,3.0,8.1,12.8,16.1,20.1,21.9,18.8,12.8,6.8,1.7,,"https://www.google.com/maps?q=40.2179966,141.781704"
岩手県洋野町立八木保育園,岩手県,,,9.6,-0.9,-0.6,2.4,7.6,12.2,15.3,19.5,21.2,18.3,12.6,6.7,1.3,,"https://www.google.com/maps?q=40.3416817,141.7636342"
岩手県洋野町立平内小学校,青森県,,,9.6,-0.9,-0.6,2.4,7.6,12.2,15.3,19.5,21.2,18.3,12.6,6.7,1.3,,"https://www.google.com/maps?q=40.4235889,141.7004709"
岩手県洋野町立宿戸保育園,岩手県,,,9.6,-0.9,-0.6,2.4,7.6,12.2,15.3,19.5,21.2,18.3,12.6,6.7,1.3,,"https://www.google.com/maps?q=40.362842,141.7442608"
小国町立小玉川中学校,新潟県,,,10.9,-0.3,-0.1,2.2,7.7,14.4,18.9,22.7,23.8,19.5,13.1,6.9,1.9,,"https://www.google.com/maps?q=37.9683369,139.6774293"
南陽市立中川小学校,山形県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=38.094818,140.199228"
